Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NSRDB,126544,-,-,-,37.85,-122.26,-8,60,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Temperature
2006,1,1,0,0,0,0,0,9.559259033203148
2006,1,1,1,0,0,0,0,9.560266113281273
2006,1,1,2,0,0,0,0,9.399194335937523
2006,1,1,3,0,0,0,0,9.200280761718773
2006,1,1,4,0,0,0,0,8.922021484375023
2006,1,1,5,0,0,0,0,8.781732177734398
2006,1,1,6,0,0,0,0,9.064965820312523
2006,1,1,7,0,0,0,0,9.539331054687523
2006,1,1,8,0,5,0,5,10.303552246093773
2006,1,1,9,0,15,0,15,11.287896728515648
2006,1,1,10,0,26,0,26,11.748193359375023
2006,1,1,11,0,81,0,81,12.088067626953148
2006,1,1,12,0,67,0,67,12.348229980468773
2006,1,1,13,0,209,96,255,12.532373046875023
2006,1,1,14,0,122,0,122,12.634484863281273
2006,1,1,15,0,90,0,90,12.588250732421898
2006,1,1,16,0,14,0,14,12.504846191406273
2006,1,1,17,0,0,0,0,12.488671875000023
2006,1,1,18,0,0,0,0,12.521447753906273
2006,1,1,19,0,0,0,0,12.477838134765648
2006,1,1,20,0,0,0,0,12.237145996093773
2006,1,1,21,0,0,0,0,11.940393066406273
2006,1,1,22,0,0,0,0,11.727777099609398
2006,1,1,23,0,0,0,0,11.514825439453148
2006,1,2,0,0,0,0,0,11.313073730468773
2006,1,2,1,0,0,0,0,11.078485107421898
2006,1,2,2,0,0,0,0,10.829980468750023
2006,1,2,3,0,0,0,0,10.647515869140648
2006,1,2,4,0,0,0,0,10.550469970703148
2006,1,2,5,0,0,0,0,10.363092041015648
2006,1,2,6,0,0,0,0,10.064019775390648
2006,1,2,7,0,0,0,0,9.808587646484398
2006,1,2,8,0,2,0,2,9.945092773437523
2006,1,2,9,0,73,0,73,10.417199707031273
2006,1,2,10,0,65,0,65,11.302117919921898
2006,1,2,11,0,25,0,25,11.555902099609398
2006,1,2,12,0,143,0,143,11.158074951171898
2006,1,2,13,0,147,0,147,10.974298095703148
2006,1,2,14,0,105,0,105,11.083734130859398
2006,1,2,15,0,95,0,95,11.317193603515648
2006,1,2,16,0,42,0,42,11.109277343750023
2006,1,2,17,0,0,0,0,10.711083984375023
2006,1,2,18,0,0,0,0,10.443383789062523
2006,1,2,19,0,0,0,0,10.202905273437523
2006,1,2,20,0,0,0,0,10.040673828125023
2006,1,2,21,0,0,0,0,9.861169433593773
2006,1,2,22,0,0,0,0,9.720635986328148
2006,1,2,23,0,0,0,0,9.646722412109398
2006,1,3,0,0,0,0,0,9.572900390625023
2006,1,3,1,0,0,0,0,9.565606689453148
2006,1,3,2,0,0,0,0,9.426538085937523
2006,1,3,3,0,0,0,0,9.162652587890648
2006,1,3,4,0,0,0,0,9.201989746093773
2006,1,3,5,0,0,0,0,9.328088378906273
2006,1,3,6,0,0,0,0,9.313592529296898
2006,1,3,7,0,0,0,0,9.282434082031273
2006,1,3,8,0,2,0,2,9.817102050781273
2006,1,3,9,0,95,50,107,10.317895507812523
2006,1,3,10,0,107,0,107,10.859399414062523
2006,1,3,11,0,185,43,205,11.542138671875023
2006,1,3,12,0,135,0,135,12.246881103515648
2006,1,3,13,0,116,0,116,12.538110351562523
2006,1,3,14,0,44,0,44,12.411157226562523
2006,1,3,15,0,41,0,41,12.121301269531273
2006,1,3,16,0,59,162,86,11.826409912109398
2006,1,3,17,0,0,0,0,11.661126708984398
2006,1,3,18,0,0,0,0,11.572808837890648
2006,1,3,19,0,0,0,0,11.545709228515648
2006,1,3,20,0,0,0,0,11.574609375000023
2006,1,3,21,0,0,0,0,11.575524902343773
2006,1,3,22,0,0,0,0,11.536798095703148
2006,1,3,23,0,0,0,0,11.480950927734398
2006,1,4,0,0,0,0,0,11.391748046875023
2006,1,4,1,0,0,0,0,11.274011230468773
2006,1,4,2,0,0,0,0,11.199945068359398
2006,1,4,3,0,0,0,0,11.192193603515648
2006,1,4,4,0,0,0,0,11.163659667968773
2006,1,4,5,0,0,0,0,11.194726562500023
2006,1,4,6,0,0,0,0,11.213555908203148
2006,1,4,7,0,0,0,0,11.375726318359398
2006,1,4,8,0,31,247,53,11.982476806640648
2006,1,4,9,0,60,597,207,12.394891357421898
2006,1,4,10,0,75,729,346,13.656365966796898
2006,1,4,11,0,83,791,443,15.403100585937523
2006,1,4,12,0,86,813,485,16.320123291015648
2006,1,4,13,0,85,804,470,16.681878662109398
2006,1,4,14,0,80,763,397,16.501062011718773
2006,1,4,15,0,68,671,276,15.768090820312523
2006,1,4,16,0,61,157,87,13.791619873046898
2006,1,4,17,0,0,0,0,12.643731689453148
2006,1,4,18,0,0,0,0,12.197869873046898
2006,1,4,19,0,0,0,0,11.876611328125023
2006,1,4,20,0,0,0,0,11.604699707031273
2006,1,4,21,0,0,0,0,11.506097412109398
2006,1,4,22,0,0,0,0,11.490899658203148
2006,1,4,23,0,0,0,0,11.495019531250023
2006,1,5,0,0,0,0,0,11.488122558593773
2006,1,5,1,0,0,0,0,11.300531005859398
2006,1,5,2,0,0,0,0,11.011773681640648
2006,1,5,3,0,0,0,0,10.753228759765648
2006,1,5,4,0,0,0,0,10.548791503906273
2006,1,5,5,0,0,0,0,10.403894042968773
2006,1,5,6,0,0,0,0,10.325219726562523
2006,1,5,7,0,0,0,0,10.366143798828148
2006,1,5,8,0,31,37,34,11.092004394531273
2006,1,5,9,0,97,84,118,11.923547363281273
2006,1,5,10,0,116,484,296,13.527490234375023
2006,1,5,11,0,167,415,356,15.272241210937523
2006,1,5,12,0,121,657,445,16.560540771484398
2006,1,5,13,0,87,834,487,17.195092773437523
2006,1,5,14,0,165,317,298,17.008233642578148
2006,1,5,15,0,85,526,250,15.955712890625023
2006,1,5,16,0,52,363,113,13.676538085937523
2006,1,5,17,0,0,0,0,12.553643798828148
2006,1,5,18,0,0,0,0,11.989404296875023
2006,1,5,19,0,0,0,0,11.530511474609398
2006,1,5,20,0,0,0,0,11.243066406250023
2006,1,5,21,0,0,0,0,11.147210693359398
2006,1,5,22,0,0,0,0,11.203973388671898
2006,1,5,23,0,0,0,0,11.296044921875023
2006,1,6,0,0,0,0,0,11.248498535156273
2006,1,6,1,0,0,0,0,11.105859375000023
2006,1,6,2,0,0,0,0,10.942315673828148
2006,1,6,3,0,0,0,0,10.813104248046898
2006,1,6,4,0,0,0,0,10.761804199218773
2006,1,6,5,0,0,0,0,10.742852783203148
2006,1,6,6,0,0,0,0,10.599145507812523
2006,1,6,7,0,0,0,0,10.394616699218773
2006,1,6,8,0,32,229,52,10.522882080078148
2006,1,6,9,0,75,416,178,11.261102294921898
2006,1,6,10,0,77,760,360,13.454278564453148
2006,1,6,11,0,85,822,461,15.509912109375023
2006,1,6,12,0,88,845,506,16.487939453125023
2006,1,6,13,0,87,836,490,16.835595703125023
2006,1,6,14,0,82,793,415,16.522302246093773
2006,1,6,15,0,70,699,291,15.447503662109398
2006,1,6,16,0,49,497,135,13.058984375000023
2006,1,6,17,0,0,0,0,11.976373291015648
2006,1,6,18,0,0,0,0,11.959893798828148
2006,1,6,19,0,0,0,0,11.572930908203148
2006,1,6,20,0,0,0,0,11.008264160156273
2006,1,6,21,0,0,0,0,10.578027343750023
2006,1,6,22,0,0,0,0,10.455926513671898
2006,1,6,23,0,0,0,0,10.748956298828148
2006,1,7,0,0,0,0,0,11.066857910156273
2006,1,7,1,0,0,0,0,11.285485839843773
