DHI,DNI,GHI,Hour,Season
0.0,0.0,0.0,0,winter
0.0,0.0,0.0,1,winter
0.0,0.0,0.0,2,winter
0.0,0.0,0.0,3,winter
0.0,0.0,0.0,4,winter
0.0,0.0,0.0,5,winter
0.0,0.0,0.0,6,winter
0.0,0.0,0.0,7,winter
26.5322580645,204.177419355,49.064516129,8,winter
62.1129032258,332.048387097,150.209677419,9,winter
105.5,398.774193548,260.564516129,10,winter
127.693548387,477.5,352.403225806,11,winter
134.467741935,456.209677419,364.870967742,12,winter
132.161290323,465.758064516,359.435483871,13,winter
112.629032258,424.983870968,291.741935484,14,winter
85.8225806452,379.177419355,205.516129032,15,winter
46.8387096774,282.451612903,96.6290322581,16,winter
5.87096774194,40.7903225806,8.20967741935,17,winter
0.0,0.0,0.0,18,winter
0.0,0.0,0.0,19,winter
0.0,0.0,0.0,20,winter
0.0,0.0,0.0,21,winter
0.0,0.0,0.0,22,winter
0.0,0.0,0.0,23,winter
0.0,0.0,0.0,0,spring
0.0,0.0,0.0,1,spring
0.0,0.0,0.0,2,spring
0.0,0.0,0.0,3,spring
0.0,0.0,0.0,4,spring
0.15,0.783333333333,0.158333333333,5,spring
18.8083333333,102.583333333,35.025,6,spring
53.8083333333,246.208333333,125.208333333,7,spring
100.108333333,411.416666667,276.233333333,8,spring
138.258333333,492.558333333,428.683333333,9,spring
174.408333333,551.9,563.833333333,10,spring
198.116666667,587.791666667,661.95,11,spring
209.275,605.716666667,713.933333333,12,spring
191.75,599.358333333,682.333333333,13,spring
175.058333333,584.683333333,618.533333333,14,spring
145.041666667,570.866666667,511.016666667,15,spring
116.691666667,479.316666667,352.216666667,16,spring
70.9666666667,370.133333333,191.983333333,17,spring
29.3583333333,170.975,60.2083333333,18,spring
2.20833333333,13.1166666667,2.85833333333,19,spring
0.0,0.0,0.0,20,spring
0.0,0.0,0.0,21,spring
0.0,0.0,0.0,22,spring
0.0,0.0,0.0,23,spring
0.0,0.0,0.0,0,summer
0.0,0.0,0.0,1,summer
0.0,0.0,0.0,2,summer
0.0,0.0,0.0,3,summer
0.0,0.0,0.0,4,summer
2.78260869565,14.3804347826,3.13043478261,5,summer
44.7608695652,283.108695652,92.4891304348,6,summer
90.4130434783,260.22826087,185.119565217,7,summer
143.467391304,386.413043478,355.163043478,8,summer
178.695652174,504.510869565,532.913043478,9,summer
179.184782609,643.152173913,710.293478261,10,summer
199.054347826,696.076086957,831.086956522,11,summer
175.586956522,784.304347826,915.0,12,summer
168.456521739,786.717391304,899.184782609,13,summer
145.108695652,804.108695652,839.684782609,14,summer
146.586956522,752.119565217,713.608695652,15,summer
121.967391304,688.880434783,540.304347826,16,summer
97.152173913,602.597826087,358.217391304,17,summer
61.3586956522,417.663043478,164.315217391,18,summer
18.4891304348,128.945652174,28.8369565217,19,summer
0.0,0.0,0.0,20,summer
0.0,0.0,0.0,21,summer
0.0,0.0,0.0,22,summer
0.0,0.0,0.0,23,summer
0.0,0.0,0.0,0,autumn
0.0,0.0,0.0,1,autumn
0.0,0.0,0.0,2,autumn
0.0,0.0,0.0,3,autumn
0.0,0.0,0.0,4,autumn
0.0,0.0,0.0,5,autumn
1.8021978022,7.82417582418,2.14285714286,6,autumn
31.4945054945,172.945054945,57.4615384615,7,autumn
76.9340659341,367.912087912,187.89010989,8,autumn
113.516483516,511.604395604,351.835164835,9,autumn
136.351648352,603.659340659,489.857142857,10,autumn
143.527472527,668.120879121,584.791208791,11,autumn
154.32967033,663.0,612.065934066,12,autumn
134.153846154,673.538461538,583.758241758,13,autumn
119.934065934,658.956043956,508.252747253,14,autumn
96.4065934066,593.406593407,375.604395604,15,autumn
66.8021978022,466.615384615,216.208791209,16,autumn
31.8131868132,193.054945055,68.3626373626,17,autumn
5.24175824176,33.9230769231,8.12087912088,18,autumn
0.0,0.0,0.0,19,autumn
0.0,0.0,0.0,20,autumn
0.0,0.0,0.0,21,autumn
0.0,0.0,0.0,22,autumn
0.0,0.0,0.0,23,autumn
