,shading60,move_sequence,shading_move_0,shading_move_1,shading_move_2,shading_move_3,shading_move_4,shading_move_5,shading_move_6,shading_move_7,shading_move_8,shading_move_9,shading_move_10,shading_move_11,shading_move_12,read_sequence
SPC_0001,24.7,0001111000001,24.7,24.7,24.7,19.9,22.7,19.9,22.7,22.2,24.7,24.7,24.7,22.2,22.7,0001010100010
SPC_0002,26.3,0000001100010,26.3,26.3,26.3,26.3,26.3,26.3,21.8,24.5,26.3,24.0,26.3,21.8,24.0,0000001001011
SPC_0003,27.7,0010001000010,27.7,27.7,23.4,27.7,25.4,27.7,23.4,27.7,27.7,27.7,27.7,25.9,27.7,0010101000000
SPC_0004,26.2,1000001010010,24.3,26.2,26.2,23.8,23.8,23.8,21.6,23.8,21.6,23.8,23.8,21.6,26.2,0001111111110
SPC_0005,26.0,0100001010010,26.0,21.3,26.0,26.0,26.0,23.6,21.3,23.6,24.1,26.0,26.0,21.3,23.6,0100011100011
SPC_0006,26.8,0010100110010,26.8,24.5,22.4,26.8,25.0,24.5,26.8,25.0,25.0,24.5,24.5,22.4,26.8,0110010001110
SPC_0007,24.6,0111000001010,24.6,19.7,19.7,22.6,22.0,24.6,24.6,24.6,22.0,22.6,24.6,22.6,22.0,0110100010001
SPC_0008,25.5,0101110000111,25.5,20.8,25.5,23.5,20.8,20.8,25.5,25.5,23.0,23.0,20.8,20.8,20.8,0100110011111
SPC_0009,26.6,0010001011010,26.6,26.6,22.1,26.6,26.6,26.6,22.1,26.6,24.8,22.1,24.3,22.1,24.3,0010001001111
SPC_0010,25.2,0111111110100,25.2,23.2,23.2,23.2,20.4,20.4,20.4,23.2,23.2,25.2,23.2,25.2,25.2,0000111000000
SPC_0011,23.5,0111010000011,23.5,18.4,21.4,21.4,20.9,18.4,20.9,23.5,23.5,20.9,20.9,18.4,18.4,0100111001111
SPC_0012,24.7,0101010101101,24.7,19.9,24.7,22.8,24.7,19.9,22.2,19.9,24.7,19.9,19.9,22.2,22.8,0100011101110
SPC_0013,25.5,0110110100100,25.5,20.8,23.6,25.5,20.8,23.6,25.5,20.8,25.5,25.5,23.6,23.1,23.1,0100100100011
SPC_0014,24.0,0101110010010,24.0,19.0,24.0,19.0,19.0,19.0,24.0,21.4,22.0,24.0,24.0,19.0,24.0,0101110100010
SPC_0015,28.0,0100110111110,28.0,26.3,25.8,28.0,23.8,26.3,28.0,23.8,23.8,23.8,26.3,23.8,25.8,0010100111011
SPC_0016,26.8,0010001000011,26.8,26.8,25.0,26.8,26.8,24.5,25.0,26.8,26.8,26.8,26.8,25.0,25.0,0000010000000
SPC_0017,27.2,0111001010010,27.2,22.8,22.8,22.8,27.2,24.9,22.8,24.9,25.4,24.9,27.2,25.4,24.9,0111011101001
SPC_0018,24.8,0110110010010,24.8,20.0,20.0,22.3,20.0,20.0,22.3,24.8,22.8,24.8,22.3,20.0,22.3,0111111000111
SPC_0019,25.2,0100001110111,25.2,23.2,25.2,25.2,25.2,22.7,20.4,23.2,23.2,25.2,20.4,23.2,23.2,0000011000100
SPC_0020,25.8,0101101111111,25.8,23.9,23.4,23.9,21.1,25.8,23.9,21.1,21.1,23.9,23.9,21.1,21.1,0010100110011
SPC_0021,27.7,0001101000100,27.7,25.5,27.7,26.0,26.0,27.7,26.0,25.5,27.7,27.7,26.0,25.5,25.5,0100000100011
SPC_0022,22.4,0010000010101,22.4,19.6,17.1,19.6,22.4,19.6,22.4,22.4,20.2,19.6,17.1,22.4,20.2,0111010001100
SPC_0023,26.2,0000000010000,23.9,26.2,26.2,26.2,26.2,26.2,26.2,23.9,24.4,26.2,23.9,23.9,23.9,1000000100111
SPC_0024,27.0,0010010010010,27.0,27.0,22.6,27.0,24.7,22.6,24.7,27.0,25.2,27.0,24.7,25.2,27.0,0010111000100
SPC_0025,23.1,0110001000011,20.4,21.0,21.0,23.1,23.1,23.1,21.0,20.4,20.4,23.1,23.1,21.0,17.9,1000000110001
SPC_0026,24.2,1000001011110,22.2,24.2,21.7,24.2,21.7,21.7,22.2,21.7,22.2,19.3,19.3,19.3,21.7,0010110101111
SPC_0027,26.1,0100010111000,26.1,24.3,26.1,23.8,26.1,24.3,23.8,21.6,21.6,24.3,23.8,26.1,23.8,0001001110101
SPC_0028,25.9,0000001101100,25.9,23.6,23.6,23.6,23.6,25.9,24.1,21.3,25.9,24.1,24.1,23.6,25.9,0111100100010
